,from,to,score,pair
1,CHUK,AKT1,908,AKT1_CHUK
2,RPS27A,UBA52,999,RPS27A_UBA52
3,MTOR,UBC,802,MTOR_UBC
4,RPS27A,UBC,995,RPS27A_UBC
5,UBA52,UBC,996,UBA52_UBC
6,RPS27A,UBB,994,RPS27A_UBB
7,UBA52,UBB,994,UBA52_UBB
8,UBC,UBB,994,UBB_UBC
9,HLA-DQA1,HLA-DRB1,978,HLA-DQA1_HLA-DRB1
10,HLA-DRB1,HLA-DQA2,901,HLA-DQA2_HLA-DRB1
11,HLA-DQA1,HLA-DQB1,999,HLA-DQA1_HLA-DQB1
12,HLA-DQA2,HLA-DQB1,960,HLA-DQA2_HLA-DQB1
13,HLA-DQA1,HLA-DRB5,720,HLA-DQA1_HLA-DRB5
14,HLA-DRB1,HLA-DRB5,907,HLA-DRB1_HLA-DRB5
15,HLA-DQA2,HLA-DRB5,790,HLA-DQA2_HLA-DRB5
16,HLA-DQB1,HLA-DRB5,706,HLA-DQB1_HLA-DRB5
17,HLA-DRB1,HLA-DRA,999,HLA-DRA_HLA-DRB1
18,HLA-DQA2,HLA-DRA,717,HLA-DQA2_HLA-DRA
19,HLA-DQB1,HLA-DRA,758,HLA-DQB1_HLA-DRA
20,HLA-DRB5,HLA-DRA,995,HLA-DRA_HLA-DRB5
21,HLA-DRB1,HLA-DPA1,936,HLA-DPA1_HLA-DRB1
22,HLA-DQA2,HLA-DPA1,747,HLA-DPA1_HLA-DQA2
23,HLA-DRB5,HLA-DPA1,735,HLA-DPA1_HLA-DRB5
24,HLA-DRA,HLA-DPA1,924,HLA-DPA1_HLA-DRA
25,HLA-DQA1,HLA-DPB1,878,HLA-DPB1_HLA-DQA1
26,HLA-DRB1,HLA-DPB1,909,HLA-DPB1_HLA-DRB1
27,HLA-DQA2,HLA-DPB1,809,HLA-DPB1_HLA-DQA2
28,HLA-DRA,HLA-DPB1,933,HLA-DPB1_HLA-DRA
29,HLA-DPA1,HLA-DPB1,999,HLA-DPA1_HLA-DPB1
30,RPS27A,ZAP70,800,RPS27A_ZAP70
31,UBA52,ZAP70,800,UBA52_ZAP70
32,UBC,ZAP70,800,UBC_ZAP70
33,UBB,ZAP70,800,UBB_ZAP70
34,ZAP70,TRAT1,900,TRAT1_ZAP70
35,ZAP70,CD3D,979,CD3D_ZAP70
36,TRAT1,CD3D,900,CD3D_TRAT1
37,ZAP70,FYN,895,FYN_ZAP70
38,CD3D,FYN,746,CD3D_FYN
39,ZAP70,CD3E,966,CD3E_ZAP70
40,TRAT1,CD3E,900,CD3E_TRAT1
41,CD3D,CD3E,999,CD3D_CD3E
42,FYN,CD3E,909,CD3E_FYN
43,ZAP70,CD247,999,CD247_ZAP70
44,TRAT1,CD247,947,CD247_TRAT1
45,CD3D,CD247,999,CD247_CD3D
46,FYN,CD247,972,CD247_FYN
47,CD3E,CD247,999,CD247_CD3E
48,ZAP70,CD3G,972,CD3G_ZAP70
49,TRAT1,CD3G,900,CD3G_TRAT1
50,CD3D,CD3G,999,CD3D_CD3G
51,CD3E,CD3G,999,CD3E_CD3G
52,CD247,CD3G,999,CD247_CD3G
53,ZAP70,LCK,993,LCK_ZAP70
54,CD3D,LCK,746,CD3D_LCK
55,FYN,LCK,998,FYN_LCK
56,CD3E,LCK,753,CD3E_LCK
57,CD247,LCK,850,CD247_LCK
58,ZAP70,GRB2,986,GRB2_ZAP70
59,FYN,GRB2,971,FYN_GRB2
60,LCK,GRB2,964,GRB2_LCK
61,RPS27A,PSMD4,975,PSMD4_RPS27A
62,UBA52,PSMD4,953,PSMD4_UBA52
63,UBC,PSMD4,958,PSMD4_UBC
64,UBB,PSMD4,965,PSMD4_UBB
65,RPS27A,PSMC4,862,PSMC4_RPS27A
66,UBA52,PSMC4,835,PSMC4_UBA52
67,UBC,PSMC4,898,PSMC4_UBC
68,UBB,PSMC4,871,PSMC4_UBB
69,PSMD4,PSMC4,998,PSMC4_PSMD4
70,RPS27A,PSMD8,862,PSMD8_RPS27A
71,UBA52,PSMD8,835,PSMD8_UBA52
72,UBC,PSMD8,862,PSMD8_UBC
73,UBB,PSMD8,848,PSMD8_UBB
74,PSMD4,PSMD8,998,PSMD4_PSMD8
75,PSMC4,PSMD8,998,PSMC4_PSMD8
76,RPS27A,PSMA3,888,PSMA3_RPS27A
77,UBA52,PSMA3,835,PSMA3_UBA52
78,UBC,PSMA3,849,PSMA3_UBC
79,UBB,PSMA3,848,PSMA3_UBB
80,PSMD4,PSMA3,982,PSMA3_PSMD4
81,PSMC4,PSMA3,968,PSMA3_PSMC4
82,PSMD8,PSMA3,966,PSMA3_PSMD8
83,PSMA3,PSME2,970,PSMA3_PSME2
84,RPS27A,PSMD7,862,PSMD7_RPS27A
85,UBA52,PSMD7,842,PSMD7_UBA52
86,UBC,PSMD7,866,PSMD7_UBC
87,UBB,PSMD7,848,PSMD7_UBB
88,PSMD4,PSMD7,998,PSMD4_PSMD7
89,PSMC4,PSMD7,996,PSMC4_PSMD7
90,PSMD8,PSMD7,999,PSMD7_PSMD8
91,PSMA3,PSMD7,971,PSMA3_PSMD7
92,RPS27A,PSMA2,868,PSMA2_RPS27A
93,UBA52,PSMA2,835,PSMA2_UBA52
94,UBC,PSMA2,848,PSMA2_UBC
95,UBB,PSMA2,906,PSMA2_UBB
96,PSMD4,PSMA2,988,PSMA2_PSMD4
97,PSMC4,PSMA2,986,PSMA2_PSMC4
98,PSMD8,PSMA2,959,PSMA2_PSMD8
99,PSMA3,PSMA2,998,PSMA2_PSMA3
100,PSME2,PSMA2,971,PSMA2_PSME2
101,PSMD7,PSMA2,957,PSMA2_PSMD7
102,RPS27A,PSMB7,876,PSMB7_RPS27A
103,UBA52,PSMB7,826,PSMB7_UBA52
104,UBC,PSMB7,837,PSMB7_UBC
105,UBB,PSMB7,836,PSMB7_UBB
106,PSMD4,PSMB7,964,PSMB7_PSMD4
107,PSMC4,PSMB7,958,PSMB7_PSMC4
108,PSMD8,PSMB7,943,PSMB7_PSMD8
109,PSMA3,PSMB7,997,PSMA3_PSMB7
110,PSME2,PSMB7,929,PSMB7_PSME2
111,PSMD7,PSMB7,962,PSMB7_PSMD7
112,PSMA2,PSMB7,998,PSMA2_PSMB7
113,RPS27A,PSMC1,862,PSMC1_RPS27A
114,UBA52,PSMC1,866,PSMC1_UBA52
115,UBC,PSMC1,880,PSMC1_UBC
116,UBB,PSMC1,866,PSMC1_UBB
117,PSMD4,PSMC1,998,PSMC1_PSMD4
118,PSMC4,PSMC1,998,PSMC1_PSMC4
119,PSMD8,PSMC1,994,PSMC1_PSMD8
120,PSMA3,PSMC1,974,PSMA3_PSMC1
121,PSMD7,PSMC1,997,PSMC1_PSMD7
122,PSMA2,PSMC1,960,PSMA2_PSMC1
123,PSMB7,PSMC1,948,PSMB7_PSMC1
124,RPS27A,PSMA6,922,PSMA6_RPS27A
125,UBA52,PSMA6,864,PSMA6_UBA52
126,UBC,PSMA6,889,PSMA6_UBC
127,UBB,PSMA6,847,PSMA6_UBB
128,PSMD4,PSMA6,983,PSMA6_PSMD4
129,PSMC4,PSMA6,980,PSMA6_PSMC4
130,PSMD8,PSMA6,961,PSMA6_PSMD8
131,PSMA3,PSMA6,999,PSMA3_PSMA6
132,PSME2,PSMA6,953,PSMA6_PSME2
133,PSMD7,PSMA6,957,PSMA6_PSMD7
134,PSMA2,PSMA6,999,PSMA2_PSMA6
135,PSMB7,PSMA6,999,PSMA6_PSMB7
136,PSMC1,PSMA6,958,PSMA6_PSMC1
137,RPS27A,PSMD11,891,PSMD11_RPS27A
138,UBA52,PSMD11,864,PSMD11_UBA52
139,UBC,PSMD11,864,PSMD11_UBC
140,UBB,PSMD11,848,PSMD11_UBB
141,PSMD4,PSMD11,997,PSMD11_PSMD4
142,PSMC4,PSMD11,998,PSMC4_PSMD11
143,PSMD8,PSMD11,999,PSMD11_PSMD8
144,PSMA3,PSMD11,969,PSMA3_PSMD11
145,PSMD7,PSMD11,999,PSMD11_PSMD7
146,PSMA2,PSMD11,992,PSMA2_PSMD11
147,PSMB7,PSMD11,950,PSMB7_PSMD11
148,PSMC1,PSMD11,997,PSMC1_PSMD11
149,PSMA6,PSMD11,959,PSMA6_PSMD11
150,RPS27A,PSMB1,888,PSMB1_RPS27A
151,UBA52,PSMB1,835,PSMB1_UBA52
152,UBC,PSMB1,849,PSMB1_UBC
153,UBB,PSMB1,848,PSMB1_UBB
154,PSMD4,PSMB1,990,PSMB1_PSMD4
155,PSMC4,PSMB1,962,PSMB1_PSMC4
156,PSMD8,PSMB1,928,PSMB1_PSMD8
157,PSMA3,PSMB1,999,PSMA3_PSMB1
158,PSME2,PSMB1,934,PSMB1_PSME2
159,PSMD7,PSMB1,966,PSMB1_PSMD7
160,PSMA2,PSMB1,998,PSMA2_PSMB1
161,PSMB7,PSMB1,999,PSMB1_PSMB7
162,PSMC1,PSMB1,976,PSMB1_PSMC1
163,PSMA6,PSMB1,996,PSMA6_PSMB1
164,PSMD11,PSMB1,953,PSMB1_PSMD11
165,RPS27A,PSMD3,886,PSMD3_RPS27A
166,UBA52,PSMD3,835,PSMD3_UBA52
167,UBC,PSMD3,884,PSMD3_UBC
168,UBB,PSMD3,871,PSMD3_UBB
169,PSMD4,PSMD3,999,PSMD3_PSMD4
170,PSMC4,PSMD3,994,PSMC4_PSMD3
171,PSMD8,PSMD3,999,PSMD3_PSMD8
172,PSMA3,PSMD3,963,PSMA3_PSMD3
173,PSMD7,PSMD3,999,PSMD3_PSMD7
174,PSMA2,PSMD3,982,PSMA2_PSMD3
175,PSMB7,PSMD3,962,PSMB7_PSMD3
176,PSMC1,PSMD3,994,PSMC1_PSMD3
177,PSMA6,PSMD3,958,PSMA6_PSMD3
178,PSMD11,PSMD3,999,PSMD11_PSMD3
179,PSMB1,PSMD3,965,PSMB1_PSMD3
180,RPS27A,PSMB6,875,PSMB6_RPS27A
181,UBA52,PSMB6,826,PSMB6_UBA52
182,UBC,PSMB6,837,PSMB6_UBC
183,UBB,PSMB6,836,PSMB6_UBB
184,PSMD4,PSMB6,960,PSMB6_PSMD4
185,PSMC4,PSMB6,951,PSMB6_PSMC4
186,PSMD8,PSMB6,965,PSMB6_PSMD8
187,PSMA3,PSMB6,998,PSMA3_PSMB6
188,PSME2,PSMB6,884,PSMB6_PSME2
189,PSMD7,PSMB6,951,PSMB6_PSMD7
190,PSMA2,PSMB6,997,PSMA2_PSMB6
191,PSMB7,PSMB6,999,PSMB6_PSMB7
192,PSMC1,PSMB6,952,PSMB6_PSMC1
193,PSMA6,PSMB6,999,PSMA6_PSMB6
194,PSMD11,PSMB6,945,PSMB6_PSMD11
195,PSMB1,PSMB6,998,PSMB1_PSMB6
196,PSMD3,PSMB6,953,PSMB6_PSMD3
197,RPS27A,PSMA5,862,PSMA5_RPS27A
198,UBA52,PSMA5,861,PSMA5_UBA52
199,UBC,PSMA5,849,PSMA5_UBC
200,UBB,PSMA5,848,PSMA5_UBB
201,PSMD4,PSMA5,971,PSMA5_PSMD4
202,PSMC4,PSMA5,969,PSMA5_PSMC4
203,PSMD8,PSMA5,948,PSMA5_PSMD8
204,PSMA3,PSMA5,997,PSMA3_PSMA5
205,PSME2,PSMA5,973,PSMA5_PSME2
206,PSMD7,PSMA5,967,PSMA5_PSMD7
207,PSMA2,PSMA5,999,PSMA2_PSMA5
208,PSMB7,PSMA5,998,PSMA5_PSMB7
209,PSMC1,PSMA5,961,PSMA5_PSMC1
210,PSMA6,PSMA5,999,PSMA5_PSMA6
211,PSMD11,PSMA5,957,PSMA5_PSMD11
212,PSMB1,PSMA5,999,PSMA5_PSMB1
213,PSMD3,PSMA5,964,PSMA5_PSMD3
214,PSMB6,PSMA5,996,PSMA5_PSMB6
215,RPS27A,PSMB4,862,PSMB4_RPS27A
216,UBA52,PSMB4,835,PSMB4_UBA52
217,UBC,PSMB4,848,PSMB4_UBC
218,UBB,PSMB4,848,PSMB4_UBB
219,PSMD4,PSMB4,985,PSMB4_PSMD4
220,PSMC4,PSMB4,958,PSMB4_PSMC4
221,PSMD8,PSMB4,951,PSMB4_PSMD8
222,PSMA3,PSMB4,999,PSMA3_PSMB4
223,PSME2,PSMB4,952,PSMB4_PSME2
224,PSMD7,PSMB4,977,PSMB4_PSMD7
225,PSMA2,PSMB4,996,PSMA2_PSMB4
226,PSMB7,PSMB4,999,PSMB4_PSMB7
227,PSMC1,PSMB4,964,PSMB4_PSMC1
228,PSMA6,PSMB4,998,PSMA6_PSMB4
229,PSMD11,PSMB4,955,PSMB4_PSMD11
230,PSMB1,PSMB4,999,PSMB1_PSMB4
231,PSMD3,PSMB4,959,PSMB4_PSMD3
232,PSMB6,PSMB4,999,PSMB4_PSMB6
233,PSMA5,PSMB4,998,PSMA5_PSMB4
234,PSMD8,PSME3,722,PSMD8_PSME3
235,PSME2,PSME3,900,PSME2_PSME3
236,PSMD11,PSME3,722,PSMD11_PSME3
237,PSMA5,PSME3,721,PSMA5_PSME3
238,PSMB4,PSME3,712,PSMB4_PSME3
239,RPS27A,PSMD1,888,PSMD1_RPS27A
240,UBA52,PSMD1,835,PSMD1_UBA52
241,UBC,PSMD1,898,PSMD1_UBC
242,UBB,PSMD1,847,PSMD1_UBB
243,PSMD4,PSMD1,997,PSMD1_PSMD4
244,PSMC4,PSMD1,998,PSMC4_PSMD1
245,PSMD8,PSMD1,998,PSMD1_PSMD8
246,PSMA3,PSMD1,968,PSMA3_PSMD1
247,PSMD7,PSMD1,998,PSMD1_PSMD7
248,PSMA2,PSMD1,970,PSMA2_PSMD1
249,PSMB7,PSMD1,963,PSMB7_PSMD1
250,PSMC1,PSMD1,998,PSMC1_PSMD1
251,PSMA6,PSMD1,957,PSMA6_PSMD1
252,PSMD11,PSMD1,993,PSMD1_PSMD11
253,PSMB1,PSMD1,978,PSMB1_PSMD1
254,PSMD3,PSMD1,999,PSMD1_PSMD3
255,PSMB6,PSMD1,949,PSMB6_PSMD1
256,PSMA5,PSMD1,979,PSMA5_PSMD1
257,PSMB4,PSMD1,959,PSMB4_PSMD1
258,RPS27A,PSMD2,955,PSMD2_RPS27A
259,UBA52,PSMD2,913,PSMD2_UBA52
260,UBC,PSMD2,921,PSMD2_UBC
261,UBB,PSMD2,882,PSMD2_UBB
262,PSMD4,PSMD2,998,PSMD2_PSMD4
263,PSMC4,PSMD2,997,PSMC4_PSMD2
264,PSMD8,PSMD2,997,PSMD2_PSMD8
265,PSMA3,PSMD2,985,PSMA3_PSMD2
266,PSMD7,PSMD2,998,PSMD2_PSMD7
267,PSMA2,PSMD2,984,PSMA2_PSMD2
268,PSMB7,PSMD2,968,PSMB7_PSMD2
269,PSMC1,PSMD2,999,PSMC1_PSMD2
270,PSMA6,PSMD2,966,PSMA6_PSMD2
271,PSMD11,PSMD2,988,PSMD11_PSMD2
272,PSMB1,PSMD2,983,PSMB1_PSMD2
273,PSMD3,PSMD2,998,PSMD2_PSMD3
274,PSMB6,PSMD2,955,PSMB6_PSMD2
275,PSMA5,PSMD2,985,PSMA5_PSMD2
276,PSMB4,PSMD2,967,PSMB4_PSMD2
277,PSMD1,PSMD2,999,PSMD1_PSMD2
278,MTOR,PSMC5,734,MTOR_PSMC5
279,RPS27A,PSMC5,888,PSMC5_RPS27A
280,UBA52,PSMC5,864,PSMC5_UBA52
281,UBC,PSMC5,898,PSMC5_UBC
282,UBB,PSMC5,847,PSMC5_UBB
283,PSMD4,PSMC5,996,PSMC5_PSMD4
284,PSMC4,PSMC5,997,PSMC4_PSMC5
285,PSMD8,PSMC5,991,PSMC5_PSMD8
286,PSMA3,PSMC5,962,PSMA3_PSMC5
287,PSMD7,PSMC5,995,PSMC5_PSMD7
288,PSMA2,PSMC5,980,PSMA2_PSMC5
289,PSMB7,PSMC5,959,PSMB7_PSMC5
290,PSMC1,PSMC5,995,PSMC1_PSMC5
291,PSMA6,PSMC5,958,PSMA6_PSMC5
292,PSMD11,PSMC5,996,PSMC5_PSMD11
293,PSMB1,PSMC5,955,PSMB1_PSMC5
294,PSMD3,PSMC5,997,PSMC5_PSMD3
295,PSMB6,PSMC5,956,PSMB6_PSMC5
296,PSMA5,PSMC5,964,PSMA5_PSMC5
297,PSMB4,PSMC5,952,PSMB4_PSMC5
298,PSME3,PSMC5,760,PSMC5_PSME3
299,PSMD1,PSMC5,998,PSMC5_PSMD1
300,PSMD2,PSMC5,998,PSMC5_PSMD2
301,PSMC4,PSMA8,790,PSMA8_PSMC4
302,PSMD8,PSMA8,771,PSMA8_PSMD8
303,PSMA3,PSMA8,945,PSMA3_PSMA8
304,PSMD7,PSMA8,750,PSMA8_PSMD7
305,PSMA2,PSMA8,950,PSMA2_PSMA8
306,PSMB7,PSMA8,960,PSMA8_PSMB7
307,PSMC1,PSMA8,785,PSMA8_PSMC1
308,PSMA6,PSMA8,943,PSMA6_PSMA8
309,PSMB1,PSMA8,961,PSMA8_PSMB1
310,PSMD3,PSMA8,747,PSMA8_PSMD3
311,PSMB6,PSMA8,962,PSMA8_PSMB6
312,PSMA5,PSMA8,948,PSMA5_PSMA8
313,PSMB4,PSMA8,960,PSMA8_PSMB4
314,PSMD2,PSMA8,838,PSMA8_PSMD2
315,PSMC5,PSMA8,773,PSMA8_PSMC5
316,PSMA3,PSMF1,900,PSMA3_PSMF1
317,PSMA2,PSMF1,953,PSMA2_PSMF1
318,PSMB7,PSMF1,961,PSMB7_PSMF1
319,PSMA6,PSMF1,943,PSMA6_PSMF1
320,PSMB1,PSMF1,963,PSMB1_PSMF1
321,PSMB6,PSMF1,900,PSMB6_PSMF1
322,PSMA5,PSMF1,963,PSMA5_PSMF1
323,PSMB4,PSMF1,963,PSMB4_PSMF1
324,PSMA8,PSMF1,720,PSMA8_PSMF1
325,RPS27A,PSMD12,888,PSMD12_RPS27A
326,UBA52,PSMD12,865,PSMD12_UBA52
327,UBC,PSMD12,864,PSMD12_UBC
328,UBB,PSMD12,848,PSMD12_UBB
329,PSMD4,PSMD12,998,PSMD12_PSMD4
330,PSMC4,PSMD12,998,PSMC4_PSMD12
331,PSMD8,PSMD12,999,PSMD12_PSMD8
332,PSMA3,PSMD12,966,PSMA3_PSMD12
333,PSMD7,PSMD12,999,PSMD12_PSMD7
334,PSMA2,PSMD12,960,PSMA2_PSMD12
335,PSMB7,PSMD12,956,PSMB7_PSMD12
336,PSMC1,PSMD12,996,PSMC1_PSMD12
337,PSMA6,PSMD12,992,PSMA6_PSMD12
338,PSMD11,PSMD12,999,PSMD11_PSMD12
339,PSMB1,PSMD12,975,PSMB1_PSMD12
340,PSMD3,PSMD12,999,PSMD12_PSMD3
341,PSMB6,PSMD12,958,PSMB6_PSMD12
342,PSMA5,PSMD12,960,PSMA5_PSMD12
343,PSMB4,PSMD12,975,PSMB4_PSMD12
344,PSME3,PSMD12,727,PSMD12_PSME3
345,PSMD1,PSMD12,995,PSMD1_PSMD12
346,PSMD2,PSMD12,996,PSMD12_PSMD2
347,PSMC5,PSMD12,995,PSMC5_PSMD12
348,PSMA3,PSMB10,991,PSMA3_PSMB10
349,PSME2,PSMB10,812,PSMB10_PSME2
350,PSMA2,PSMB10,996,PSMA2_PSMB10
351,PSMB7,PSMB10,793,PSMB10_PSMB7
352,PSMA6,PSMB10,986,PSMA6_PSMB10
353,PSMB1,PSMB10,991,PSMB1_PSMB10
354,PSMB6,PSMB10,941,PSMB10_PSMB6
355,PSMA5,PSMB10,987,PSMA5_PSMB10
356,PSMB4,PSMB10,996,PSMB10_PSMB4
357,PSMA8,PSMB10,921,PSMA8_PSMB10
358,PSMF1,PSMB10,720,PSMB10_PSMF1
359,RPS27A,PSMB5,848,PSMB5_RPS27A
360,UBA52,PSMB5,826,PSMB5_UBA52
361,UBC,PSMB5,837,PSMB5_UBC
362,UBB,PSMB5,836,PSMB5_UBB
363,PSMD4,PSMB5,968,PSMB5_PSMD4
364,PSMC4,PSMB5,964,PSMB5_PSMC4
365,PSMD8,PSMB5,950,PSMB5_PSMD8
366,PSMA3,PSMB5,997,PSMA3_PSMB5
367,PSME2,PSMB5,904,PSMB5_PSME2
368,PSMD7,PSMB5,972,PSMB5_PSMD7
369,PSMA2,PSMB5,997,PSMA2_PSMB5
370,PSMB7,PSMB5,999,PSMB5_PSMB7
371,PSMC1,PSMB5,963,PSMB5_PSMC1
372,PSMA6,PSMB5,997,PSMA6_PSMB5
373,PSMD11,PSMB5,948,PSMB5_PSMD11
374,PSMB1,PSMB5,999,PSMB1_PSMB5
375,PSMD3,PSMB5,948,PSMB5_PSMD3
376,PSMB6,PSMB5,999,PSMB5_PSMB6
377,PSMA5,PSMB5,998,PSMA5_PSMB5
378,PSMB4,PSMB5,998,PSMB4_PSMB5
379,PSMD1,PSMB5,947,PSMB5_PSMD1
380,PSMD2,PSMB5,962,PSMB5_PSMD2
381,PSMC5,PSMB5,964,PSMB5_PSMC5
382,PSMA8,PSMB5,946,PSMA8_PSMB5
383,PSMF1,PSMB5,900,PSMB5_PSMF1
384,PSMD12,PSMB5,957,PSMB5_PSMD12
385,PSMB10,PSMB5,939,PSMB10_PSMB5
386,RPS27A,PSMA7,848,PSMA7_RPS27A
387,UBA52,PSMA7,826,PSMA7_UBA52
388,UBC,PSMA7,837,PSMA7_UBC
389,UBB,PSMA7,836,PSMA7_UBB
390,PSMD4,PSMA7,973,PSMA7_PSMD4
391,PSMC4,PSMA7,960,PSMA7_PSMC4
392,PSMD8,PSMA7,945,PSMA7_PSMD8
393,PSMA3,PSMA7,997,PSMA3_PSMA7
394,PSME2,PSMA7,957,PSMA7_PSME2
395,PSMD7,PSMA7,960,PSMA7_PSMD7
396,PSMA2,PSMA7,999,PSMA2_PSMA7
397,PSMB7,PSMA7,997,PSMA7_PSMB7
398,PSMC1,PSMA7,984,PSMA7_PSMC1
399,PSMA6,PSMA7,997,PSMA6_PSMA7
400,PSMD11,PSMA7,957,PSMA7_PSMD11
401,PSMB1,PSMA7,997,PSMA7_PSMB1
402,PSMD3,PSMA7,972,PSMA7_PSMD3
403,PSMB6,PSMA7,998,PSMA7_PSMB6
404,PSMA5,PSMA7,998,PSMA5_PSMA7
405,PSMB4,PSMA7,998,PSMA7_PSMB4
406,PSMD1,PSMA7,949,PSMA7_PSMD1
407,PSMD2,PSMA7,971,PSMA7_PSMD2
408,PSMC5,PSMA7,950,PSMA7_PSMC5
409,PSMA8,PSMA7,965,PSMA7_PSMA8
410,PSMF1,PSMA7,963,PSMA7_PSMF1
411,PSMD12,PSMA7,957,PSMA7_PSMD12
412,PSMB10,PSMA7,970,PSMA7_PSMB10
413,PSMB5,PSMA7,998,PSMA7_PSMB5
414,RPS27A,PSMB2,887,PSMB2_RPS27A
415,UBA52,PSMB2,863,PSMB2_UBA52
416,UBC,PSMB2,896,PSMB2_UBC
417,UBB,PSMB2,871,PSMB2_UBB
418,PSMD4,PSMB2,983,PSMB2_PSMD4
419,PSMC4,PSMB2,965,PSMB2_PSMC4
420,PSMD8,PSMB2,968,PSMB2_PSMD8
421,PSMA3,PSMB2,999,PSMA3_PSMB2
422,PSME2,PSMB2,941,PSMB2_PSME2
423,PSMD7,PSMB2,960,PSMB2_PSMD7
424,PSMA2,PSMB2,997,PSMA2_PSMB2
425,PSMB7,PSMB2,996,PSMB2_PSMB7
426,PSMC1,PSMB2,979,PSMB2_PSMC1
427,PSMA6,PSMB2,996,PSMA6_PSMB2
428,PSMD11,PSMB2,960,PSMB2_PSMD11
429,PSMB1,PSMB2,998,PSMB1_PSMB2
430,PSMD3,PSMB2,964,PSMB2_PSMD3
431,PSMB6,PSMB2,998,PSMB2_PSMB6
432,PSMA5,PSMB2,998,PSMA5_PSMB2
433,PSMB4,PSMB2,999,PSMB2_PSMB4
434,PSMD1,PSMB2,972,PSMB2_PSMD1
435,PSMD2,PSMB2,977,PSMB2_PSMD2
436,PSMC5,PSMB2,960,PSMB2_PSMC5
437,PSMA8,PSMB2,967,PSMA8_PSMB2
